	sentiment	content	labels
21510	happiness	@markyboosh had to many weirdos on the other one	[0 1 0 0 0]
21511	happiness	11 days till county raly  i had 2 tak 3 from 14 it took me a while	[0 1 0 0 0]
21512	sadness	Feeling considerably better after 13 hours sleep  still not right though...	[0 0 0 0 1]
21513	sadness	@Moni7D well then take your sexy ass to sleep then foo.  how as your weekend mami?	[0 0 0 0 1]
21514	happiness	@japmap2009 Oh, I is dubbed Breesaholic Insomniac #2  *feels special* oh! must add third Angel drink to post	[0 1 0 0 0]
21515	neutral	@Lilith_92 yeah im okayy lots been happening while you not been here !! anyone special at the moment ? xx	[0 0 0 1 0]
21516	neutral	@stonesimon Oki doki  You too, laterrrs	[0 0 0 1 0]
21517	love	Hello my lovely followers  love and peace from my house lolz We just need the weather!	[0 0 1 0 0]
21518	happiness	@tommcfly haha that was good, slightly geeky but funny  x	[0 1 0 0 0]
21519	neutral	If all goes according to plan, you CSE RFID guinea pigs should have a bitchin FF extension to play with by the end of this week	[0 0 0 1 0]
21520	sadness	english p1 done.  i refuse to countdown, it makes me sad. off to shower and take a nap...	[0 0 0 0 1]
21522	neutral	@BastetAsshur i agree.	[0 0 0 1 0]
21523	neutral	lying on the sofa chilling...don't intend on moving from it any time soon	[0 0 0 1 0]
21524	neutral	@nm tweets are postcards, butless easily retrievable than archived email saved on my machine.	[0 0 0 1 0]
21525	neutral	@thorney1 I forget, are you in Edinburgh? Check out EdinburghAC.org.uk	[0 0 0 1 0]
21526	sadness	@ayeashleigh good. yeah i am fine thanks. just dreading history tomorrow, not in the mood for hyperactive 20 year olds lmao	[0 0 0 0 1]
21527	neutral	@SwissTwist jip i have a good one	[0 0 0 1 0]
21528	happiness	Yogurting. Home from lady Mona's, on the fone w no song from Yoplait. Lookin forward to hrs w @QisWalker tmorrow &amp; rehearsals  Gnight all!	[0 1 0 0 0]
21529	happiness	is so excited for this summer... Steve Winwood and Eric Clapton, Eagles of Death Metal, and ahhh the Dead Weather	[0 1 0 0 0]
21530	love	@MissJia *kiss kiss* stu deezy off to bed to have sweet dreams of you ma'am  hehe xxoxo	[0 0 1 0 0]
21531	neutral	apple fritters are like the perfect after food...don't you think?	[0 0 0 1 0]
21532	sadness	no eggs today ... shame was looking forward to a egg and bacon sandwich	[0 0 0 0 1]
21533	happiness	has just finished recording the improvisation for the second instrument in the latest podcast and is happy. nearly mixing time.	[0 1 0 0 0]
21534	neutral	bank holiday today	[0 0 0 1 0]
21535	happiness	Trying to save money for an iPod touch!	[0 1 0 0 0]
21536	happiness	@_josh_thomas are you coming to sydney?! cool, where can i meet you? id love to meet you, you're my favourite comedian	[0 1 0 0 0]
21537	neutral	another bank holiday out of the office	[0 0 0 1 0]
21538	love	@bill_archie Haha it's ok. Glad everything's good. Happy always! Woohoo!	[0 0 1 0 0]
21539	happiness	@marcoflores You're welcome!  How much longer until it's colored in?	[0 1 0 0 0]
21540	neutral	does anyone know how to move google chrome passwords to firefox?	[0 0 0 1 0]
21541	happiness	is back at working auditing away, time to make the hard decisions and be happy	[0 1 0 0 0]
21542	neutral	@elizabethlai This is my mini collection of Star Wars figurines in the office.  @allysont http://twitpic.com/4j29b - what's this?	[0 0 0 1 0]
21543	neutral	Next song to be axed by me Ombra mai fï¿½ -ï¿½ Largo ï¿½ Hï¿½ndel	[0 0 0 1 0]
21544	neutral	Back to office. A bit strange after a short hollidays. But my MBP is without dead px and re-vamped with 4gb of ram. Monday is a bit nicer	[0 0 0 1 0]
21545	happiness	houstatlantavegas, sooner than later, nov. 18th, a night off, successful . over and over for the last 2837 hours - heavennn	[0 1 0 0 0]
21546	love	Right now on my Justin.tv channel: 10 weeks until my gf has a newborn  www.justin.tv/kubbur?20	[0 0 1 0 0]
21547	sadness	@andypiper I have not been aquired... It's just a new oppertunity. Sorry if they don't support mac. I won't tell more	[0 0 0 0 1]
21548	happiness	Watched Coraline last night. It was really good. The animation was excellent and the creativity was inspirational.	[0 1 0 0 0]
21549	happiness	Didn't get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun	[0 1 0 0 0]
21550	neutral	@DonniesCupcake I will tweet you sometime tomorrow, anothe busy day! Goodnight Hooker Chickie! LOL!	[0 0 0 1 0]
21551	neutral	twitters from her seat in the exam hall! it starts in 15mins. pray for seat 299 in MPSH1-A to be blessed, oh and for wisdom to flow.  whee	[0 0 0 1 0]
21552	happiness	@jackoolz anywhere!!! i don't mind...as long as i'm superman and there's good music...all is sweet	[0 1 0 0 0]
21553	happiness	Now i've got 3 new frens-frm Germany,Mexico n France  havin dinner 2gather 2nite.	[0 1 0 0 0]
21554	neutral	http://twitpic.com/4jalj - Morning world. #healthyliving update. Weight this morning 82.1kg (12st 12lbs) Going in right direction	[0 0 0 1 0]
21555	happiness	will deplurk too. buhbyeee  http://plurk.com/p/rp3ir	[0 1 0 0 0]
21556	happiness	@whodeani Some place where you have to be all boring? UGGGGGG	[0 1 0 0 0]
21557	love	@ladyzae WOW.How sweet!	[0 0 1 0 0]
21558	happiness	Home from Disney...best time in a long time...howl at the moon tonight for GBA and then BHB Tuesday  oh drummer boy  niiight	[0 1 0 0 0]
21559	sadness	Have been practicing for the last 40 minutes. I don't think 40 minutes will suffice for 7-days worth... More later	[0 0 0 0 1]
21560	happiness	@Zanna85 Bill can take me to Fangtasia and hit this shot anytime! &quot;Roads, where we're going we don't need roads.&quot; LOVE that part!	[0 1 0 0 0]
21561	happiness	// happy Star Wars Day everyone, May the 4th be with you	[0 1 0 0 0]
21562	neutral	@andavane http://bit.ly/13f5m0  You are not alone in your disbelief but I am quite happy with evolution. It beats the alternatives posited	[0 0 0 1 0]
21564	neutral	@darrensoh yup, studying. At least I'm trying to. Trying to let the stuff I read enter my brain permanently.	[0 0 0 1 0]
21565	neutral	its Monday and all is good	[0 0 0 1 0]
21566	neutral	Well if you actually went and got your drivers license you wouldn't have to worry about the bus being shit, haha.	[0 0 0 1 0]
21567	love	oh it's #musicmonday  How about a love story/viva la vida mix: http://tinyurl.com/dyvzsa	[0 0 1 0 0]
21568	neutral	there it is. postieeee  http://andshehopes.blogspot.com/2009/05/kewpie.html	[0 0 0 1 0]
21569	happiness	is trying to help save the earth. Let's plant more trees.	[0 1 0 0 0]
21570	neutral	If anyone has a dreamwidth spare invite code lying around, could you please spare me one? Pretty please?	[0 0 0 1 0]
21571	neutral	@mac40007001 you're welcome	[0 0 0 1 0]
21572	neutral	@zekemurphy Webmail is your friend...	[0 0 0 1 0]
21573	neutral	will be back later.  http://plurk.com/p/rp3k7	[0 0 0 1 0]
21574	love	@SarahAMurdoch loved you in head over heels! One of my fave movies! you looked stunning last night	[0 0 1 0 0]
21575	neutral	Gnight shar   &lt;(' '&lt;)Vega(&gt;' ')&gt;	[0 0 0 1 0]
21576	neutral	MAY THE 4TH BE WITH YOU. Happy Star Wars Day	[0 0 0 1 0]
21577	neutral	@KunalSheth it will get over on 8th. subjects remaining are power generation operation and control &amp; distribution system automation	[0 0 0 1 0]
21578	happiness	http://slingalink.com/eVicE1 my daughters kindergarden  !	[0 1 0 0 0]
21579	happiness	@floyduk just relax like it is or translated to swedish too? Just got to take a look at my next comment	[0 1 0 0 0]
21580	happiness	@aussiemcflyfan i hope so  I KNOW WOO! haha 2 times  it was exciting lol	[0 1 0 0 0]
21581	happiness	@AmyatQ13 @borborigma I agree about the redesigned Q13 site! Looks great on computer &amp; phone.	[0 1 0 0 0]
21582	happiness	@Ah_Lex_Ah hey alexa, you heard right  looking forward to causing some mischief on friday!!	[0 1 0 0 0]
21583	neutral	In bed with 2 girls	[0 0 0 1 0]
21584	neutral	@Harvstrofsorrow i still like coldplay i just said that was one of my fav cds. and they r one of my fav bands too!!!	[0 0 0 1 0]
21585	happiness	@LeesaLily oh ok thanks	[0 1 0 0 0]
21586	neutral	@picalili  HERE HERE!!!   xxx	[0 0 0 1 0]
21587	neutral	IDIOTat)tove_liden Th*nks for the follow Tove!  (ddoodm) #IDIOT	[0 0 0 1 0]
21588	happiness	@DeepaPrabhu Thanks and thanks	[0 1 0 0 0]
21589	neutral	Someone in UNITED STATES liked Eleminis http://tinyurl.com/dhlq5t	[0 0 0 1 0]
21590	neutral	wants everyone to know he's off to watch Cypher... again	[0 0 0 1 0]
21591	neutral	Shower day.	[0 0 0 1 0]
21592	love	going to sleep with my baby	[0 0 1 0 0]
21593	love	Don't Think Twice creative blog. Cool stuff. http://www.dontthinktwicecollective.blogspot.com/ @karensaba thanks	[0 0 1 0 0]
21594	happiness	my brain is gonna explode, a minute from now ) it is full of numbers @-) this should be the cliiimb. :-j i'm climbing the: mt. numbers.	[0 1 0 0 0]
21595	happiness	Having to write a real looking paper letter. Not done one of those for a very long time. Sad really.	[0 1 0 0 0]
21596	happiness	new golf VI TSi 160HP is fast!	[0 1 0 0 0]
21597	neutral	Digiqom welcomed new team members in the company today	[0 0 0 1 0]
21598	happiness	@tommcfly You're getting new fans all the time. I wasn't one until November	[0 1 0 0 0]
21599	sadness	@McflyMadEmma Little Louisa is number 3 trying to get number one!  XX	[0 0 0 0 1]
21600	neutral	@rachky @taltalush Yes. I am secure in my masculinity.	[0 0 0 1 0]
21601	neutral	Going to have one last cig, then head to bed. Night Tweeters.	[0 0 0 1 0]
21602	neutral	May the 4th be with you all	[0 0 0 1 0]
21603	happiness	@savii313 I am twittering, LIKE A BOSS. Thanks Savvv	[0 1 0 0 0]
21604	happiness	&quot;leave the pieces&quot; - the wreckers... hmm	[0 1 0 0 0]
21605	neutral	Actually I've been in here, holed up quite nicely, for hours. This is one of those times I regret never having married or gotten a cat	[0 0 0 1 0]
21606	anger	@LiliCosic i'm good-making a list of things to do today.I have a week off in a few days,I dont want to be doing these chores things then!	[1 0 0 0 0]
21607	neutral	@inkophile I have weekends like that too - almost always at the end of &quot;one of those weeks&quot;!	[0 0 0 1 0]
21608	neutral	@rmolden Yes, maybe, but for today, I write	[0 0 0 1 0]
21609	sadness	@SupaStarCity hahah i sowwie hun  whats up thoe ?	[0 0 0 0 1]
21610	neutral	@Shez wishing you were here too babe.. we'd have a ball	[0 0 0 1 0]
21611	neutral	?and make your own pledge while you're at it!	[0 0 0 1 0]
21612	happiness	@littletiara aha i bet they are cute,should we wear our nu **at  the same time so  i cn show you mine,u cn show me yours	[0 1 0 0 0]
21613	sadness	@TomFelton hope you have a good flight	[0 0 0 0 1]
21614	happiness	@BenFordham Thats Not a Golf Buggy LOL it's a Australia Zoo Buggy The staff use it to get around and give certain patrons a life	[0 1 0 0 0]
21615	sadness	@TiaSparkles  Yeah, I should at least try myself.  Have a good night &amp; visit with the Chiro tmrw!	[0 0 0 0 1]
21616	happiness	oh, it's @andremichelle 's birthday! happy birthday andre michelle	[0 1 0 0 0]
21617	neutral	I'm new to Twitter &amp; I'm trying to work out how to use this program..	[0 0 0 1 0]
21618	happiness	@sunrisesister yeah, so quick! And I'm using the 5mm addi's I bought on Sat and it makes it even smoother	[0 1 0 0 0]
21619	happiness	@cherrylipstain hello nikki! i just ended my exams 2 hours ago!  how abt u?	[0 1 0 0 0]
21620	neutral	is watching neighbours!	[0 0 0 1 0]
21621	neutral	@devinjay oh just referring to our lil exchange on LJ with regards to twitter archive postings.	[0 0 0 1 0]
21622	neutral	I am having a pretty good time at work talking shit with one on  the gymnastics gils	[0 0 0 1 0]
21623	neutral	@moanasaves right.	[0 0 0 1 0]
21624	sadness	@krisreyes here btw, this is not a bot	[0 0 0 0 1]
21625	neutral	@DiiLee break a leg  but don't do it for real it just a saying :p &quot; good luck&quot;	[0 0 0 1 0]
21626	sadness	hope's she see her bestie today	[0 0 0 0 1]
21627	neutral	@ElvisHsiao You can go to www.TwitPic.com and log in with your Twitter details to add pics	[0 0 0 1 0]
21628	happiness	Happy Star Wars Day  May the fourth be with you!	[0 1 0 0 0]
21629	love	Going to bed after beating the snot out of hubby w/ Texas hold em	[0 0 1 0 0]
21630	happiness	@dangriffey In France it was last Friday and also the coming one, we are working	[0 1 0 0 0]
21631	love	MY AUNTIE FROM QUEENSLAND IS DOWN TO STAY THE NIGHT! YAYA.	[0 0 1 0 0]
21632	happiness	Hehe, @stereogum in @brooklynvegan sta se malce preve? vï¿½ivela v v?erajï¿½nji Dark was the night koncert  No, ob takem lineupu...	[0 1 0 0 0]
21633	happiness	Bank Holiday Bliss - Jeremy Kyle, without even bothering the Sky+	[0 1 0 0 0]
21634	neutral	@Taryll sweet dreams	[0 0 0 1 0]
21635	neutral	i actually really liked Merlin last night. some parts were a bit eh, but the part where that chick was singing was like whoa.	[0 0 0 1 0]
21636	neutral	@TomFelton Safe flight home to you and Jade   XX	[0 0 0 1 0]
21637	happiness	@imeldalaura it's a woodchipper &amp; it's gonna top off the weekend just nicely	[0 1 0 0 0]
21638	happiness	@bellothika  The flowers grow!!	[0 1 0 0 0]
21639	neutral	@Atomik re: the job ... still waiting my friend. Thanks for asking  * I just need a little ... ;) * ? http://blip.fm/~5jehr	[0 0 0 1 0]
21640	happiness	Actually a great start to the day, hope it continues  getting my new american oversized bed in the evening!	[0 1 0 0 0]
21641	sadness	Well... I hate to leave.... but I must sleep! G'night y'all and hope to chat later!  Enjoy my li'l night owls!	[0 0 0 0 1]
21642	happiness	Making a birthday song to a special person!!	[0 1 0 0 0]
21643	happiness	@officialTila wow... that was very sexy	[0 1 0 0 0]
21644	anger	They are unloading a Leopard Tank just next to my office window. Hope I didn't piss off anyone	[1 0 0 0 0]
21645	sadness	@bellelumiere So I could just do my own thing without having to live up to any expectations	[0 0 0 0 1]
21646	neutral	@NolaxE I follow u lol	[0 0 0 1 0]
21647	love	Ohh grandpas.. Stable.. Won't kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite	[0 0 1 0 0]
21648	happiness	Happy Star Wars Day! .... May the 4th Be with You!	[0 1 0 0 0]
21649	neutral	@AndyBradbury - mostley yellow and green	[0 0 0 1 0]
21650	happiness	@nnaa the rain was pretty nice. I only have 150 meters of cobbles on my way here	[0 1 0 0 0]
21651	happiness	Going to have dinner. bbs	[0 1 0 0 0]
21652	neutral	@DJCRS will do hun. Yes yes.	[0 0 0 1 0]
21653	sadness	where is the rain please come out	[0 0 0 0 1]
21654	sadness	My dad is taking me to school &amp; picking me up tomoz. Plus I have drama almost all day. Score bludge day	[0 0 0 0 1]
21655	happiness	@tommcfly i am glad cos u wouldnt lose me as a fan anyway  i get to see you guys on saturday evening at leicester  it better be good!	[0 1 0 0 0]
21656	sadness	is planning for surviving financial status after quitting my job, gotta find a new job within 4 months	[0 0 0 0 1]
21657	neutral	http://tinyurl.com/d6smh5 my painthing	[0 0 0 1 0]
21658	happiness	@Wildchickendew muhahaha you've joined the tweet cult... lol heya  btw twitterific is a good iphone app i use	[0 1 0 0 0]
21659	sadness	@angela_lyle Okay, und was ist mit Deinem Auto?	[0 0 0 0 1]
21660	happiness	is eating chocolate ready break	[0 1 0 0 0]
21661	love	@tothetech  welcome	[0 0 1 0 0]
21662	happiness	@mkasper22 Thank you	[0 1 0 0 0]
21663	happiness	@PhilLHerold Thank you	[0 1 0 0 0]
21664	happiness	@wonko42 and staff rooms, It will be intersting to see how K12 faces this when every kid has a laptop	[0 1 0 0 0]
21665	happiness	YAHOO! volleyball, hiking, eating a fish eye, witnessing, sleeping on the beach, jumping rocks, &amp; hanging where Jurassic Park was filmed!	[0 1 0 0 0]
21666	happiness	@CarterRonson It's going at 11 am here.. I'm overseas  y u up so early tho	[0 1 0 0 0]
21667	happiness	@neilhimself Look at all this feedback!  You should do it more often, seriously  The crazier the topic, the better.	[0 1 0 0 0]
21668	sadness	@comedyqueen dont make plans mite go out tho if i can b bothered 2 get out ma pjs!	[0 0 0 0 1]
21669	happiness	Going to sleep with Horton.  Goodnight, Twitterverse &lt;3	[0 1 0 0 0]
21670	happiness	@ElvisHsiao  The website I'm developing - http://woo.sh lets you also share Videos, documents, maps and events - Later music too	[0 1 0 0 0]
21671	love	has the greatest friends in the entire world	[0 0 1 0 0]
21672	sadness	I feel like an M&amp;M McFlurry  mmm... But I won't get one coz I need to look good for when I go to the States!!! 7 weeks 2 go aaaaahhhh!!!	[0 0 0 0 1]
21673	happiness	@RobKardashian Hey fellow Trojan..congrats on graduation.	[0 1 0 0 0]
21674	happiness	@simonrim off to the cheese counter I go! Thanks	[0 1 0 0 0]
21675	happiness	@coconutfriend i should have shouldnt i, im happy you enjoyed it cos im thoughtful like that you see, and YAYA i hav 20 followers  woop	[0 1 0 0 0]
21676	happiness	wheelchair fitting today for mall buzzing &amp; Home Depot. &quot;Homebound&quot; just got REAL old  Goal: taxi yellow or electric RED!	[0 1 0 0 0]
21677	happiness	@sarahjpin ha! you're right...I know you're right.	[0 1 0 0 0]
21678	neutral	Back from hospital, now at work... later studio time	[0 0 0 1 0]
21679	neutral	editing something in photoshoot  NILEY	[0 0 0 1 0]
21680	love	@calilewis Just saw you on TV for the Best Job in the World. Good luck.	[0 0 1 0 0]
21681	happiness	Java Concurrency in Practice is probably the best Java book I've ever bought. There's a recipe in there for interrupting blocking IO ops	[0 1 0 0 0]
21682	love	The Skimchamp Taxi Service!  best in the land!	[0 0 1 0 0]
21683	love	http://tinyurl.com/d3ul3u - Watch it!  And yes, @MargauxAlcid, it's lovely.	[0 0 1 0 0]
21684	neutral	Here comes the sun, here comes the sun, and I say it's all right	[0 0 0 1 0]
21685	happiness	@uyaerdna thanks	[0 1 0 0 0]
21686	love	@NLTonline please dont change anything in your site. I love it.. will always love it even if.. so, please? pretty please?	[0 0 1 0 0]
21687	happiness	study all day.  just finished my care plan.  hungry as hell!  ima go treat myself with a burrito, for a good days work	[0 1 0 0 0]
21688	happiness	@LineHara Youuuu're an aaass  my aaass loooool	[0 1 0 0 0]
21689	love	@hollabec Your hair is MY matt ball  &lt;3	[0 0 1 0 0]
21690	neutral	http://xkcd.com/577/ - today's xkcd  Looking forward to daily updates this week!	[0 0 0 1 0]
21691	love	writing an email to my new host sister	[0 0 1 0 0]
21692	neutral	gonna have a lazy day today	[0 0 0 1 0]
21693	sadness	Can't sleep but is happy that the Fugees are keeping him company	[0 0 0 0 1]
21694	happiness	having my brecky. Good Morning  x	[0 1 0 0 0]
21695	sadness	In regard to knowledge, I am like the little robot in the movie &quot;Short Circuit.&quot; I am always crying out: &quot;Imput! Imput!&quot;	[0 0 0 0 1]
21696	neutral	@poorprogrammer office ???????????	[0 0 0 1 0]
21697	happiness	@chocolatesuze yes yes you should! Especially with wine and mushrooms!! Ummm I love mushies	[0 1 0 0 0]
21698	love	Special mention for the new Mean Girl @LemonsAreSour... welcome her! &amp; if you're not already, FOLLOW HER!! Night	[0 0 1 0 0]
21699	neutral	its a perfect op for everyone to advertise their blogs	[0 0 0 1 0]
21700	happiness	@mariaandros guns and roses baby! yay!  was hopin you would blip.fm it	[0 1 0 0 0]
21702	neutral	is over it.  http://plurk.com/p/rp5np	[0 0 0 1 0]
21703	happiness	Cinema tonight  it is half the price on Monday ;)	[0 1 0 0 0]
21704	neutral	@jadoon88 @imhassan ROFLMAO for the funny web portal  =D	[0 0 0 1 0]
21705	happiness	bali!! can wait for it	[0 1 0 0 0]
21706	happiness	eating my tito's home made ice cream  yum!	[0 1 0 0 0]
21707	neutral	@kasey79 I got it	[0 0 0 1 0]
21708	happiness	@Brittanya69 you are so sexy mama!	[0 1 0 0 0]
21709	neutral	Hunger settled, now, tis sleepytime	[0 0 0 1 0]
21710	happiness	@RobTSmith Good morning to you as well Rob, have a great day	[0 1 0 0 0]
21711	happiness	humm.... I adore Mark #hoppusday ,so I'm just going to throw it out there #hoppusday....... have a nice #hoppusday people!!	[0 1 0 0 0]
21712	neutral	2pm today is Quiz Time at the Goat! Game shows to play and prizes to be won! Plus 'Toss Off Tommy' for free drinks! Today from 2! x	[0 0 0 1 0]
21713	happiness	@MXYZ_ I don't see how there could possibly be another choice.	[0 1 0 0 0]
21714	sadness	@ljs777 for the most part, not enough space on one drive to properly defrag, nowhere else to put stuff, but yeah, reassembled	[0 0 0 0 1]
21715	neutral	@EmmanuelGadenne  then maybe you should think of spending christmass there too	[0 0 0 1 0]
21716	happiness	@BreakfastNews ETS (Endoscopic thoracic sympathectomy) is an invaluable surgical procedure	[0 1 0 0 0]
21718	sadness	my mummy is cooking dinner just for me because I missed out when everybody else ate. I feel &lt;3'd	[0 0 0 0 1]
21719	happiness	@HandymanTrainer Actually because of the several updates you have daily, I find them all interesting and informative. Keep posting.	[0 1 0 0 0]
21720	love	@EmilyAllTimeLow: yes!	[0 0 1 0 0]
21721	neutral	@sarahtonner are you tweeting while running?	[0 0 0 1 0]
21722	love	@scruffybee welcome to twitter world my friend!	[0 0 1 0 0]
21723	sadness	@BevClement I don't think we talk much about Banks these days - not quite as respected as they once were	[0 0 0 0 1]
21724	neutral	@dragonflly93 I'm writing more fanfic.	[0 0 0 1 0]
21725	sadness	making Shell join twitter so I have a follower	[0 0 0 0 1]
21726	neutral	@Michael_Phelps hello michael  have a nice day	[0 0 0 1 0]
21727	sadness	I hope I'm doing something right. Had an influx of reviews on a 1 year old fan fic telling me they love my style of writing for HP.	[0 0 0 0 1]
21728	happiness	@runsenorun that frenchfry-corndog looks so delish! I WANT!!  Welcome back to Seattle!	[0 1 0 0 0]
21729	happiness	wants to welcome @melizadeleon: back to Plurk again!  http://plurk.com/p/rp5po	[0 1 0 0 0]
21730	neutral	@moniqueconheady say hi to Kimba for me	[0 0 0 1 0]
21731	neutral	@nathanryder I asked them	[0 0 0 1 0]
21732	happiness	@Melorailiana Welcome, you were our 10,000th follower! it's very late CA time but we stayed up to meet you	[0 1 0 0 0]
21733	love	@hypahdorkx3 yeah. xD were so close already! xD i can talk to u about anything!  i love u gurrl. x3	[0 0 1 0 0]
21734	happiness	Great weekend, even though my site is not moved. Plenty other things to do and learn. Keeping the faith and looking to the future	[0 1 0 0 0]
21735	neutral	Jumpstart! WOTD: Jape QQ: Are you comppetitive, overcompetitive or not competitive at all? Write your responses here!	[0 0 0 1 0]
21736	neutral	@ctreit Hmmm, maybe that's what they meant. They eluded to something brand new but you know how the media is	[0 0 0 1 0]
21737	anger	i just had the weirdest dream ever and can't see because owi credo is too brighi. But i hate guys	[1 0 0 0 0]
21738	neutral	I would appreciate it if you would. I am a big Tim Kaul fan ya know	[0 0 0 1 0]
21739	happiness	rock pooling.  Can't believe I get paid for this!	[0 1 0 0 0]
21740	happiness	Packing gym bag. Off to the gym in a bit. Squee! I'm my happiest whem I'm on the go.	[0 1 0 0 0]
21741	neutral	@windminstrel Work.	[0 0 0 1 0]
21742	neutral	@Melancthe that depends on how many itty-bitty-kitties want to sit on my lap	[0 0 0 1 0]
21743	sadness	is obviously getting bored celebrating summer! ) And now listening to music and eating some pizza.	[0 0 0 0 1]
21744	happiness	@JONGIRL79 that would be awesome  lol	[0 1 0 0 0]
21745	happiness	@Rove1974 If you mention this twitter group to your followers I would be very grateful	[0 1 0 0 0]
21746	happiness	@charley_bum lol *30 minutes slow* in a sec  i was just having fun tearing down old posters and putting up new ones	[0 1 0 0 0]
21747	neutral	i got my period, and i'm not pregnant	[0 0 0 1 0]
21748	happiness	@rowsell will be following you tomorrow!!  sleep well	[0 1 0 0 0]
21749	happiness	awesome lucky you	[0 1 0 0 0]
21750	happiness	Welcome to everyone  Playerstation.it is now live on Twitter. www.playerstation.it	[0 1 0 0 0]
21751	sadness	Scrubs tonight (8.00pm). woo!	[0 0 0 0 1]
21752	happiness	@pureelite Thankss  Someone sent me another text this morning saying happy birthday, was from that number I told you about last night LOL	[0 1 0 0 0]
21753	neutral	@bungeespin  caww that sounds good, I hope you're right	[0 0 0 1 0]
21754	sadness	@bettytes hey bettiye,  i did see her. stay tuned for videos and blog  hows was obsessed?? i need to get thru exams then imma watch it	[0 0 0 0 1]
21755	happiness	@geemaree Yeah it's a really fascinating paper isn't it? Credit goes to @metaweb20 for the discovery	[0 1 0 0 0]
21756	happiness	@cheergod2002 yeah I can tell ha ha.	[0 1 0 0 0]
21757	happiness	Home Sweet home &lt;3  Going to see Hannah Montana The Movie AGAIN today &lt;3 DDD	[0 1 0 0 0]
21758	happiness	Nope, thank God, not on Air...  It's a REAL application, compiled code...	[0 1 0 0 0]
21759	happiness	@eBeth I can hear it now...	[0 1 0 0 0]
21760	neutral	@JennyMalaiAli ... go to that person and click the green arrow *following*, then you'll see *remove*	[0 0 0 1 0]
21761	happiness	@vjkarthik  they r the most random things that my mind can churn..as the Chennai heat gets to me I can assure u these will b more often.	[0 1 0 0 0]
21762	happiness	@Appledoe Mmmm, I had honey mustard chicken w/ rice &amp; veges	[0 1 0 0 0]
21763	happiness	Rachel Allens date bars, so easy to make   http://twitpic.com/4jas7	[0 1 0 0 0]
21764	anger	via @uhmmm: Christopher Moore &quot;You Suck&quot; - hmm tja.. sucks	[1 0 0 0 0]
21765	happiness	@FanboyGeekStu That's one of the reasons we thought &quot;Should we have a kid?&quot;  &quot;Nah - let's get a piano instead.&quot;    You poor buggers	[0 1 0 0 0]
21766	happiness	@Jasonalbi Oh yea, my pain went down a little bit from laughing so hard which was good and nice for once.	[0 1 0 0 0]
21767	sadness	I hadn't realised how Long it had been since I was last 'tweeting'... Now I'm on here I don't know what to say  x	[0 0 0 0 1]
21768	sadness	@zhayrar whoa rad ! coffee makes me stay up all night	[0 0 0 0 1]
21769	neutral	im at school right now	[0 0 0 1 0]
21770	happiness	Do me a favour, tell me what you think about me	[0 1 0 0 0]
21771	neutral	@Jacs_Will_Rule don't tweet, just eat!	[0 0 0 1 0]
21772	sadness	@TeamCyrus  you`re welcome  how are you?	[0 0 0 0 1]
21773	neutral	Happy Star Wars Day ...  &quot;May the 4th be with you&quot;.... read http://tinyurl.com/axsujx for more ;)	[0 0 0 1 0]
21774	neutral	says somebody n e body please!	[0 0 0 1 0]
21775	happiness	Monday blues? Not today, not for me.	[0 1 0 0 0]
21776	love	@SarahAMurdoch YOU LOOKED ABSOLUTELY BEAUTIFUL AND ELEGANT.	[0 0 1 0 0]
21777	neutral	@WKJThD  Thanks for Following	[0 0 0 1 0]
21778	happiness	@texasjackflash thnx 4 the follow	[0 1 0 0 0]
21779	happiness	@4_idiots hahaha! I don't work in a strip club you know  alrighty mister, have YOU done any public may dancing today?	[0 1 0 0 0]
21780	sadness	@paulusveltman Ja  Deze is interessanter - Why text messages are limited to 160 characters - http://tr.im/kpgg	[0 0 0 0 1]
21781	happiness	Great long-weekend so far   Going for a run now - no Judo tonight  Then off to Blue Water for some &quot;Retail Therapy&quot;	[0 1 0 0 0]
21782	happiness	@RealLadyGaga hey.just putting it out there.. you should come to townsville next year..elton john came in '06 n loved it. it was great!!!	[0 1 0 0 0]
21783	neutral	@Tottie Yeah he's also partial to JT and TI Dead and Gone and Pink's Sobre	[0 0 0 1 0]
21784	happiness	@Lord_Kartz I've been studying for a year now  And 5 years in school...	[0 1 0 0 0]
21785	happiness	learning to play sweet child of mine on guitar.  yays.	[0 1 0 0 0]
21786	neutral	Quickest way to get a seat to yourself on a London bus currently: pretend to sneeze VERY loudly about 3/4 times	[0 0 0 1 0]
21787	neutral	@asphotos cool  I didn't realise that you were until now	[0 0 0 1 0]
21788	love	@fiercescouting oh really  hopefully it was a good one. I just was trying to get your attention thats all	[0 0 1 0 0]
21789	sadness	@Zingtoh Who knows, maybe someday you'll come home and find... *gasp* DINNER in your FRIDGE!	[0 0 0 0 1]
21790	neutral	@NikkiPilkington Mr Tweet I think	[0 0 0 1 0]
21791	love	@dr_aureole Oh my gosh, so cute!!!	[0 0 1 0 0]
21792	sadness	@StephanieMxx Yeah, I try 2 chat wif all too. It can b hard to find tweeps online @ the same time sometimes	[0 0 0 0 1]
21793	happiness	@WKJThD You are very much welcome	[0 1 0 0 0]
